id,hits_index_0,hits_index_1
1001,0.00018320904337491316,8.440297742166438e-05
1002,7.348740880636662e-05,0.00018378587231548122
1003,1.5457857453380828e-07,2.4765643273010828e-05
1004,1.8704886258205582e-11,9.22512228089955e-11
1005,6.845190089812109e-06,4.38372982502298e-07
1006,7.935593242394656e-08,2.0122571596640958e-06
1007,1.9059775442306442e-06,0.0
1008,3.4796918731187994e-07,3.1334027349178033e-09
1009,1.3971450502620492e-14,4.3939843168502867e-16
1010,5.724920310505698e-06,4.0045466539772235e-05
1011,0.00014905724240083448,1.0568643458654905e-05
1012,9.344925442324437e-07,2.4566014442193733e-05
1013,2.087575242107725e-05,2.3414503470270228e-05
1014,1.2520147779670501e-08,2.314935397110383e-08
1015,0.0,0.0
1016,0.00026696446549163587,5.772337336061699e-05
1017,6.566282306585385e-08,5.887700433176029e-06
1018,3.654791748458985e-05,3.2621718849411953e-05
1019,5.222734935129407e-09,5.5446466869368004e-08
1020,2.1237765141370363e-07,0.0
1021,3.2416006486715166e-05,3.42462865703561e-07
1022,3.034700492795524e-07,6.899264696544133e-06
1023,2.3030481717429447e-07,1.7347695115132892e-05
1024,9.639362797580127e-06,4.2290681617643814e-05
1025,4.6185143414720426e-05,2.9363733131591368e-05
1026,4.804728060631678e-07,0.0
1027,4.22592569695041e-05,0.00015442080830500794
1028,2.9974641566344667e-06,3.477828162963705e-08
1029,0.00010549986179383436,3.601919607924946e-05
1030,1.3476316907684022e-10,0.0
1031,1.2371185085697362e-05,1.4907733503442758e-05
1032,1.415584743902195e-05,4.491856191530262e-05
1033,7.27373602908045e-05,0.0002731744628523526
1034,2.9337367827071164e-09,0.0
1035,6.108540619885563e-06,0.00011135796954425124
1036,5.040890676582023e-05,1.8341075190120653e-05
1037,3.1273854031141756e-05,5.177684726185091e-05
1038,2.7557335438263427e-09,5.698951437191374e-07
1039,1.6425862454203485e-09,4.246679445087481e-07
1040,6.695319422085578e-11,1.4037653947734072e-223
1041,0.0002893777462267191,0.00019419354737162806
1042,6.182720714035218e-06,8.564738705325229e-09
1044,2.038426380780452e-05,4.52263112796719e-06
1045,2.379410089877803e-08,2.175427217467432e-12
1046,1.1142722510745177e-10,8.340515770630482e-10
1047,0.00011447489885763503,5.570493629705963e-06
1048,6.319946369774874e-165,2.383375851552093e-163
1049,5.5832262160215516e-05,3.657033866446679e-05
1050,7.389177803460263e-08,2.8718304854964892e-08
1051,7.704036683918183e-05,2.0156953362395414e-06
1052,6.196805250771988e-10,0.0
1053,2.726919549356353e-05,0.00039499583665951026
1054,0.0003931424248357774,4.1351214103503065e-05
1055,0.0002361265636441008,0.0001385987437278716
1056,0.00024788512204710077,0.00014405092468126776
1057,0.00030822337897718464,2.1979834196903348e-05
1060,2.9149541067275813e-09,6.1736822918523785e-09
1061,1.235605023137796e-168,3.317042063701894e-167
1062,2.1797337370263478e-06,6.436718551788764e-06
1063,0.00010103773707285197,4.143803459351115e-05
1064,1.9659032259378388e-07,3.3715467687786605e-07
1065,0.00028708716342938016,2.8466410640200925e-05
1066,6.044929026972183e-05,2.978414738615795e-05
1067,4.708067882396626e-08,4.028101840708336e-10
1068,1.0545310146690802e-05,4.696974283851926e-05
1069,6.785857533538193e-226,0.0
1070,6.798489837564016e-08,1.8620101980385522e-09
1071,4.3467888005688136e-05,0.0003817277382172561
1072,0.00022059656032344692,1.5842425383219045e-05
1073,3.0177601457929982e-05,1.2384040512796563e-05
1074,9.263869908305625e-07,9.423006931225554e-08
1075,2.1707652069485557e-08,0.0
1076,1.484299829062008e-05,2.0551162904301174e-06
1077,0.00031844350873374275,2.2377752144096635e-05
1080,0.0001705580397340102,0.0
1081,2.4734998867556474e-07,0.0
1082,0.0002151000176933596,0.00016602788633322905
1083,0.0001408154340673172,2.807581741312067e-05
1084,8.755400051732892e-06,0.00014325054513419135
1085,2.551235705849695e-05,1.9936701973679853e-06
1086,1.2740314140660058e-08,6.0101340049633536e-09
1087,9.225642320648793e-09,0.0
1088,1.0105749369470741e-06,1.92015301507672e-06
1089,9.472940789704e-05,3.68219706111378e-05
1090,6.425220733584245e-07,1.1642163623836675e-06
1091,6.401986112784598e-08,8.824918343178655e-07
1092,3.626358179184874e-05,8.500625884750851e-05
