id,pagerank_index
1001,1.3665022234681026e-05
1002,4.9321357296439455e-05
1003,3.063618492738566e-05
1004,1.3333641222714299e-05
1005,1.1791634695632707e-05
1006,1.2380023343937941e-05
1007,1.1005943485937167e-05
1008,1.5153042398934568e-05
1009,1.7634762011520487e-05
1010,2.0479975162920877e-05
1011,1.287924791877444e-05
1012,4.3794012613127585e-05
1013,2.2490035036513533e-05
1014,1.6117482782771634e-05
1015,1.1005943485937167e-05
1016,1.4823349811956681e-05
1017,1.570531620001004e-05
1018,2.023478752555741e-05
1019,1.8491000720034214e-05
1020,1.1005943485937167e-05
1021,1.316443145703562e-05
1022,1.1192159304879339e-05
1023,1.891074763592795e-05
1024,2.6086151770651823e-05
1025,2.0143104874399062e-05
1026,1.1005943485937167e-05
1027,5.581662264846392e-05
1028,1.2151882335019119e-05
1029,1.3495524629466323e-05
1030,1.1005943485937167e-05
1031,1.347720427404336e-05
1032,7.357060579085193e-05
1033,0.0001521571866042879
1034,1.1005943485937167e-05
1035,0.00013569127771132324
1036,1.6089812306263786e-05
1037,2.518202524743725e-05
1038,1.1129986802896415e-05
1039,2.083176998785191e-05
1040,2.031673443304569e-05
1041,2.8636782085113117e-05
1042,1.3844064611908837e-05
1044,1.203262684990444e-05
1045,1.4529702541394112e-05
1046,1.989824161980803e-05
1047,1.427343317897605e-05
1048,1.5590484022541816e-05
1049,1.4686431817114782e-05
1050,1.9770681653793373e-05
1051,1.2241477700805836e-05
1052,1.1005943485937167e-05
1053,7.910824300158786e-05
1054,1.4273076548478328e-05
1055,2.124233093039454e-05
1056,2.236314874577813e-05
1057,1.1632631338146394e-05
1060,1.2789174831707341e-05
1061,1.3349896414050794e-05
1062,1.412948573136421e-05
1063,2.0737588997829e-05
1064,1.2380393578129379e-05
1065,1.3139651378644178e-05
1066,1.9894579595322643e-05
1067,1.69272529915137e-05
1068,2.49488969516532e-05
1069,1.1005943485937167e-05
1070,1.1781842731529545e-05
1071,0.00011563304068795672
1072,1.2423231161374384e-05
1073,2.0697196692969914e-05
1074,1.5201923183991808e-05
1075,1.1005943485937167e-05
1076,1.123920403863257e-05
1077,1.3606261651693459e-05
1080,1.1005943485937167e-05
1081,1.1005943485937167e-05
1082,3.520011113598298e-05
